"","DOB","gender","startClockTime","endClockTime","startTimeSecs","endTimeSecs","child_id","filename","corpus","startTimestamp","endTimeStamp","date","startClockHours","startClockMinutes","startClockSeconds","endClockHours","endClockMinutes","endClockSeconds","endTimeSecs_for_hours","total_hrs","startClockTotalSeconds","age_interval","age_mos"
"11","2010-04-17","M","2012-12-03T15:03:38Z","2012-12-04T07:03:37Z","0.00S","57599.99S","008LTP1","008LTP1.its","L","2012-12-03 09:03:38","2012-12-04 01:03:37","2012-12-03",9,3,38,1,3,37,"57600.00S",16,32618,"2010-04-17 UTC--2012-12-03 UTC",31
"12","2010-04-17","M","2013-12-17T14:22:06Z","2013-12-18T06:22:05Z","0.00S","57599.99S","008LTP2","008LTP2.its","L","2013-12-17 08:22:06","2013-12-18 00:22:05","2013-12-17",8,22,6,0,22,5,"57600.00S",16,30126,"2010-04-17 UTC--2013-12-17 UTC",44
"13","2010-03-26","FALSE","2012-11-12T12:51:18Z","2012-11-13T04:51:17Z","0.00S","57599.99S","009LTP1","009LTP1.its","L","2012-11-12 06:51:18","2012-11-12 22:51:17","2012-11-12",6,51,18,22,51,17,"57600.00S",16,24678,"2010-03-26 UTC--2012-11-12 UTC",31
"14","2010-03-26","FALSE","2013-11-20T14:20:36Z","2013-11-21T06:20:35Z","0.00S","57599.99S","009LTP2","009LTP2.its","L","2013-11-20 08:20:36","2013-11-21 00:20:35","2013-11-20",8,20,36,0,20,35,"57600.00S",16,30036,"2010-03-26 UTC--2013-11-20 UTC",43
"15","2010-04-06","M","2013-01-02T13:19:17Z","2013-01-03T05:19:16Z","0.00S","57599.99S","010LTP1","010LTP1.its","L","2013-01-02 07:19:17","2013-01-02 23:19:16","2013-01-02",7,19,17,23,19,16,"57600.00S",16,26357,"2010-04-06 UTC--2013-01-02 UTC",32
"16","2010-04-06","M","2013-12-11T13:45:27Z","2013-12-12T05:45:26Z","0.00S","57599.99S","010LTP2","010LTP2.its","L","2013-12-11 07:45:27","2013-12-11 23:45:26","2013-12-11",7,45,27,23,45,26,"57600.00S",16,27927,"2010-04-06 UTC--2013-12-11 UTC",44
"17","2010-01-03","M","2013-02-13T13:56:30Z","2013-02-14T05:56:29Z","0.00S","57599.99S","011LTP1","011LTP1.its","L","2013-02-13 07:56:30","2013-02-13 23:56:29","2013-02-13",7,56,30,23,56,29,"57600.00S",16,28590,"2010-01-03 UTC--2013-02-13 UTC",37
"18","2010-01-03","M","2014-01-18T13:20:34Z","2014-01-19T05:20:33Z","0.00S","57599.99S","011LTP2","011LTP2.its","L","2014-01-18 07:20:34","2014-01-18 23:20:33","2014-01-18",7,20,34,23,20,33,"57600.00S",16,26434,"2010-01-03 UTC--2014-01-18 UTC",48
"19","2010-06-10","M","2013-03-10T11:54:15Z","2013-03-11T03:54:14Z","0.00S","57599.99S","012LTP1","012LTP1.its","L","2013-03-10 06:54:15","2013-03-10 22:54:14","2013-03-10",6,54,15,22,54,14,"57600.00S",16,24855,"2010-06-10 UTC--2013-03-10 UTC",33
"20","2010-06-10","M","2013-12-08T13:11:07Z","2013-12-09T05:11:06Z","0.00S","57599.99S","012LTP2","012LTP2.its","L","2013-12-08 07:11:07","2013-12-08 23:11:06","2013-12-08",7,11,7,23,11,6,"57600.00S",16,25867,"2010-06-10 UTC--2013-12-08 UTC",41
"21","2009-10-22","M","2013-02-14T13:22:13Z","2013-02-15T05:22:12Z","0.00S","57599.99S","014LTP1","014LTP1.its","L","2013-02-14 07:22:13","2013-02-14 23:22:12","2013-02-14",7,22,13,23,22,12,"57600.00S",16,26533,"2009-10-22 UTC--2013-02-14 UTC",39
"22","2009-10-22","M","2014-02-06T13:37:11Z","2014-02-07T05:37:10Z","0.00S","57599.99S","014LTP2","014LTP2.its","L","2014-02-06 07:37:11","2014-02-06 23:37:10","2014-02-06",7,37,11,23,37,10,"57600.00S",16,27431,"2009-10-22 UTC--2014-02-06 UTC",51
"23","2010-05-31","M","2013-02-10T13:28:53Z","2013-02-11T05:28:52Z","0.00S","57599.99S","015LTP1","015LTP1.its","L","2013-02-10 07:28:53","2013-02-10 23:28:52","2013-02-10",7,28,53,23,28,52,"57600.00S",16,26933,"2010-05-31 UTC--2013-02-10 UTC",32
"24","2010-05-31","M","2013-12-14T14:08:07Z","2013-12-15T06:08:06Z","0.00S","57599.99S","015LTP2","015LTP2.its","L","2013-12-14 08:08:07","2013-12-15 00:08:06","2013-12-14",8,8,7,0,8,6,"57600.00S",16,29287,"2010-05-31 UTC--2013-12-14 UTC",42
"25","2010-07-14","FALSE","2013-02-10T12:55:57Z","2013-02-11T04:55:56Z","0.00S","57599.99S","016LTP1","016LTP1.its","L","2013-02-10 06:55:57","2013-02-10 22:55:56","2013-02-10",6,55,57,22,55,56,"57600.00S",16,24957,"2010-07-14 UTC--2013-02-10 UTC",30
"26","2010-07-14","FALSE","2014-04-26T12:45:39Z","2014-04-27T04:45:38Z","0.00S","57599.99S","016LTP2","016LTP2.its","L","2014-04-26 07:45:39","2014-04-26 23:45:38","2014-04-26",7,45,39,23,45,38,"57600.00S",16,27939,"2010-07-14 UTC--2014-04-26 UTC",45
"27","2010-09-05","M","2014-04-14T18:17:56Z","2014-04-15T10:17:55Z","0.00S","57599.99S","017LTP2","017LTP2.its","L","2014-04-14 13:17:56","2014-04-15 05:17:55","2014-04-14",13,17,56,5,17,55,"57600.00S",16,47876,"2010-09-05 UTC--2014-04-14 UTC",43
"28","2010-03-02","M","2013-03-13T12:44:38Z","2013-03-14T04:44:37Z","0.00S","57599.99S","018LTP1","018LTP1.its","L","2013-03-13 07:44:38","2013-03-13 23:44:37","2013-03-13",7,44,38,23,44,37,"57600.00S",16,27878,"2010-03-02 UTC--2013-03-13 UTC",36
"29","2010-03-02","M","2014-01-24T13:29:57Z","2014-01-25T05:29:56Z","0.00S","57599.99S","018LTP2","018LTP2.its","L","2014-01-24 07:29:57","2014-01-24 23:29:56","2014-01-24",7,29,57,23,29,56,"57600.00S",16,26997,"2010-03-02 UTC--2014-01-24 UTC",46
"30","2009-12-18","FALSE","2013-03-03T13:04:25Z","2013-03-04T05:04:24Z","0.00S","57599.99S","019LTP1","019LTP1.its","L","2013-03-03 07:04:25","2013-03-03 23:04:24","2013-03-03",7,4,25,23,4,24,"57600.00S",16,25465,"2009-12-18 UTC--2013-03-03 UTC",38
"31","2009-12-18","FALSE","2014-01-12T14:11:28Z","2014-01-13T06:11:27Z","0.00S","57599.99S","019LTP2","019LTP2.its","L","2014-01-12 08:11:28","2014-01-13 00:11:27","2014-01-12",8,11,28,0,11,27,"57600.00S",16,29488,"2009-12-18 UTC--2014-01-12 UTC",48
"32","2009-12-18","FALSE","2013-03-03T13:08:28Z","2013-03-04T05:08:27Z","0.00S","57599.99S","020LTP1","020LTP1.its","L","2013-03-03 07:08:28","2013-03-03 23:08:27","2013-03-03",7,8,28,23,8,27,"57600.00S",16,25708,"2009-12-18 UTC--2013-03-03 UTC",38
"33","2009-12-18","FALSE","2014-01-12T14:27:25Z","2014-01-13T06:27:24Z","0.00S","57599.99S","020LTP2","020LTP2.its","L","2014-01-12 08:27:25","2014-01-13 00:27:24","2014-01-12",8,27,25,0,27,24,"57600.00S",16,30445,"2009-12-18 UTC--2014-01-12 UTC",48
"34","2010-09-21","FALSE","2013-03-10T12:50:52Z","2013-03-11T04:50:51Z","0.00S","57599.99S","021LTP1","021LTP1.its","L","2013-03-10 07:50:52","2013-03-10 23:50:51","2013-03-10",7,50,52,23,50,51,"57600.00S",16,28252,"2010-09-21 UTC--2013-03-10 UTC",29
"35","2010-09-21","FALSE","2014-03-23T11:47:51Z","2014-03-24T03:47:50Z","0.00S","57599.99S","021LTP2","021LTP2.its","L","2014-03-23 06:47:51","2014-03-23 22:47:50","2014-03-23",6,47,51,22,47,50,"57600.00S",16,24471,"2010-09-21 UTC--2014-03-23 UTC",42
"36","2010-06-27","FALSE","2013-09-04T14:00:34Z","2013-09-05T06:00:33Z","0.00S","57599.99S","022LTP1","022LTP1.its","L","2013-09-04 09:00:34","2013-09-05 01:00:33","2013-09-04",9,0,34,1,0,33,"57600.00S",16,32434,"2010-06-27 UTC--2013-09-04 UTC",38
"37","2010-06-27","FALSE","2014-08-31T12:47:34Z","2014-09-01T04:47:33Z","0.00S","57599.99S","022LTP2","022LTP2.its","L","2014-08-31 07:47:34","2014-08-31 23:47:33","2014-08-31",7,47,34,23,47,33,"57600.00S",16,28054,"2010-06-27 UTC--2014-08-31 UTC",50
"38","2010-11-12","M","2013-05-02T14:21:31Z","2013-05-03T06:21:30Z","0.00S","57599.99S","023LTP1","023LTP1.its","L","2013-05-02 09:21:31","2013-05-03 01:21:30","2013-05-02",9,21,31,1,21,30,"57600.00S",16,33691,"2010-11-12 UTC--2013-05-02 UTC",29
"39","2010-11-12","M","2014-04-22T15:40:31Z","2014-04-23T07:40:30Z","0.00S","57599.99S","023LTP2","023LTP2.its","L","2014-04-22 10:40:31","2014-04-23 02:40:30","2014-04-22",10,40,31,2,40,30,"57600.00S",16,38431,"2010-11-12 UTC--2014-04-22 UTC",41
"40","2010-07-23","M","2013-03-30T13:46:47Z","2013-03-30T16:08:55Z","0.00S","57599.99S","024LTP1","024LTP1.its","L","2013-03-30 08:46:47","2013-03-30 11:08:55","2013-03-30",8,46,47,11,8,55,"57600.00S",16,31607,"2010-07-23 UTC--2013-03-30 UTC",32
"41","2010-07-23","M","2014-04-28T13:14:43Z","2014-04-29T05:14:42Z","0.00S","57599.99S","024LTP2","024LTP2.its","L","2014-04-28 08:14:43","2014-04-29 00:14:42","2014-04-28",8,14,43,0,14,42,"57600.00S",16,29683,"2010-07-23 UTC--2014-04-28 UTC",45
"42","2010-01-21","FALSE","2013-05-09T14:44:51Z","2013-05-14T18:03:18Z","0.00S","36083.80S","025LTP1","025LTP1.its","L","2013-05-09 09:44:51","2013-05-14 13:03:18","2013-05-09",9,44,51,13,3,18,"36083.80S",10.0232777777778,35091,"2010-01-21 UTC--2013-05-09 UTC",39
"43","2010-01-21","FALSE","2014-06-15T02:11:43Z","2014-06-15T03:19:13Z","0.00S","13443.49S","025LTP2","025LTP2.its","L","2014-06-14 21:11:43","2014-06-14 22:19:13","2014-06-14",21,11,43,22,19,13,"13443.49S",3.73430277777778,76303,"2010-01-21 UTC--2014-06-14 UTC",52
"44","2010-05-14","M","2013-03-16T23:37:33Z","2013-03-17T15:37:32Z","0.00S","57599.99S","028LTP1","028LTP1.its","L","2013-03-16 18:37:33","2013-03-17 10:37:32","2013-03-16",18,37,33,10,37,32,"57600.00S",16,67053,"2010-05-14 UTC--2013-03-16 UTC",34
"45","2010-06-01","M","2013-04-22T12:20:06Z","2013-04-23T04:20:05Z","0.00S","57599.99S","029LTP1","029LTP1.its","L","2013-04-22 07:20:06","2013-04-22 23:20:05","2013-04-22",7,20,6,23,20,5,"57600.00S",16,26406,"2010-06-01 UTC--2013-04-22 UTC",34
"46","2010-06-01","M","2014-04-13T12:18:00Z","2014-04-14T04:17:59Z","0.00S","57599.99S","029LTP2","029LTP2.its","L","2014-04-13 07:18:00","2014-04-13 23:17:59","2014-04-13",7,18,0,23,17,59,"57600.00S",16,26280,"2010-06-01 UTC--2014-04-13 UTC",46
"47","2010-01-06","FALSE","2013-04-06T12:39:38Z","2013-04-07T04:39:37Z","0.00S","57599.99S","030LTP1","030LTP1.its","L","2013-04-06 07:39:38","2013-04-06 23:39:37","2013-04-06",7,39,38,23,39,37,"57600.00S",16,27578,"2010-01-06 UTC--2013-04-06 UTC",39
"48","2010-01-06","FALSE","2014-03-02T14:03:02Z","2014-03-03T06:03:01Z","0.00S","57599.99S","030LTP2","030LTP2.its","L","2014-03-02 08:03:02","2014-03-03 00:03:01","2014-03-02",8,3,2,0,3,1,"57600.00S",16,28982,"2010-01-06 UTC--2014-03-02 UTC",49
"49","2010-06-05","FALSE","2013-06-29T13:29:22Z","2013-06-30T02:56:08Z","0.00S","48406.11S","031LTP1","031LTP1.its","L","2013-06-29 08:29:22","2013-06-29 21:56:08","2013-06-29",8,29,22,21,56,8,"48406.11S",13.4461416666667,30562,"2010-06-05 UTC--2013-06-29 UTC",36
"50","2010-06-05","FALSE","2014-08-01T11:29:19Z","2014-08-02T03:29:18Z","0.00S","57599.99S","031LTP2","031LTP2.its","L","2014-08-01 06:29:19","2014-08-01 22:29:18","2014-08-01",6,29,19,22,29,18,"57600.00S",16,23359,"2010-06-05 UTC--2014-08-01 UTC",49
"51","2010-01-05","M","2013-04-03T11:40:28Z","2013-04-04T03:40:27Z","0.00S","57599.99S","032LTP1","032LTP1.its","L","2013-04-03 06:40:28","2013-04-03 22:40:27","2013-04-03",6,40,28,22,40,27,"57600.00S",16,24028,"2010-01-05 UTC--2013-04-03 UTC",38
"52","2010-01-05","M","2014-04-27T11:50:05Z","2014-04-28T03:50:04Z","0.00S","57599.99S","032LTP2","032LTP2.its","L","2014-04-27 06:50:05","2014-04-27 22:50:04","2014-04-27",6,50,5,22,50,4,"57600.00S",16,24605,"2010-01-05 UTC--2014-04-27 UTC",51
"53","2010-06-21","FALSE","2013-07-19T11:55:35Z","2013-07-20T03:55:34Z","0.00S","57599.99S","033LTP1","033LTP1.its","L","2013-07-19 06:55:35","2013-07-19 22:55:34","2013-07-19",6,55,35,22,55,34,"57600.00S",16,24935,"2010-06-21 UTC--2013-07-19 UTC",36
"54","2010-06-21","FALSE","2014-05-09T11:46:29Z","2014-05-10T03:46:28Z","0.00S","57599.99S","033LTP2","033LTP2.its","L","2014-05-09 06:46:29","2014-05-09 22:46:28","2014-05-09",6,46,29,22,46,28,"57600.00S",16,24389,"2010-06-21 UTC--2014-05-09 UTC",46
"55","2010-02-06","FALSE","2013-05-16T14:45:53Z","2013-05-17T06:45:52Z","0.00S","57599.99S","034LTP1","034LTP1.its","L","2013-05-16 09:45:53","2013-05-17 01:45:52","2013-05-16",9,45,53,1,45,52,"57600.00S",16,35153,"2010-02-06 UTC--2013-05-16 UTC",39
"56","2010-02-06","FALSE","2014-04-14T11:37:15Z","2014-04-15T03:37:14Z","0.00S","57599.99S","034LTP2","034LTP2.its","L","2014-04-14 06:37:15","2014-04-14 22:37:14","2014-04-14",6,37,15,22,37,14,"57600.00S",16,23835,"2010-02-06 UTC--2014-04-14 UTC",50
"57","2010-08-29","FALSE","2014-01-14T19:58:24Z","2014-01-15T05:01:55Z","0.00S","32611.30S","035LTP1","035LTP1.its","L","2014-01-14 13:58:24","2014-01-14 23:01:55","2014-01-14",13,58,24,23,1,55,"32611.30S",9.05869444444444,50304,"2010-08-29 UTC--2014-01-14 UTC",40
"58","2010-08-29","FALSE","2014-06-19T17:58:20Z","2014-06-20T09:58:19Z","0.00S","57599.99S","035LTP2","035LTP2.its","L","2014-06-19 12:58:20","2014-06-20 04:58:19","2014-06-19",12,58,20,4,58,19,"57600.00S",16,46700,"2010-08-29 UTC--2014-06-19 UTC",45
"59","2010-12-22","FALSE","2013-07-04T13:17:22Z","2013-07-05T06:23:42Z","0.00S","57599.99S","036LTP1","036LTP1.its","L","2013-07-04 08:17:22","2013-07-05 01:23:42","2013-07-04",8,17,22,1,23,42,"57600.00S",16,29842,"2010-12-22 UTC--2013-07-04 UTC",30
"60","2010-03-09","M","2013-08-22T12:58:43Z","2013-08-23T04:58:42Z","0.00S","57599.99S","037LTP1","037LTP1.its","L","2013-08-22 07:58:43","2013-08-22 23:58:42","2013-08-22",7,58,43,23,58,42,"57600.00S",16,28723,"2010-03-09 UTC--2013-08-22 UTC",41
"61","2010-03-09","M","2014-04-28T13:53:21Z","2014-04-29T05:53:20Z","0.00S","57599.99S","037LTP2","037LTP2.its","L","2014-04-28 08:53:21","2014-04-29 00:53:20","2014-04-28",8,53,21,0,53,20,"57600.00S",16,32001,"2010-03-09 UTC--2014-04-28 UTC",49
"62","2011-03-10","M","2013-08-21T11:59:31Z","2013-08-22T03:59:30Z","0.00S","57599.99S","038LTP1","038LTP1.its","L","2013-08-21 06:59:31","2013-08-21 22:59:30","2013-08-21",6,59,31,22,59,30,"57600.00S",16,25171,"2011-03-10 UTC--2013-08-21 UTC",29
"63","2011-03-10","M","2014-08-13T13:04:03Z","2014-08-14T05:04:02Z","0.00S","57599.99S","038LTP2","038LTP2.its","L","2014-08-13 08:04:03","2014-08-14 00:04:02","2014-08-13",8,4,3,0,4,2,"57600.00S",16,29043,"2011-03-10 UTC--2014-08-13 UTC",41
"64","2010-05-21","M","2013-08-24T12:40:30Z","2013-08-25T04:40:29Z","0.00S","57599.99S","039LTP1","039LTP1.its","L","2013-08-24 07:40:30","2013-08-24 23:40:29","2013-08-24",7,40,30,23,40,29,"57600.00S",16,27630,"2010-05-21 UTC--2013-08-24 UTC",39
"65","2010-05-21","M","2014-06-07T12:03:41Z","2014-06-08T04:03:40Z","0.00S","57599.99S","039LTP2","039LTP2.its","L","2014-06-07 07:03:41","2014-06-07 23:03:40","2014-06-07",7,3,41,23,3,40,"57600.00S",16,25421,"2010-05-21 UTC--2014-06-07 UTC",48
"66","2010-04-26","FALSE","2013-10-10T11:42:30Z","2013-10-11T03:42:29Z","0.00S","57599.99S","040LTP1","040LTP1.its","L","2013-10-10 06:42:30","2013-10-10 22:42:29","2013-10-10",6,42,30,22,42,29,"57600.00S",16,24150,"2010-04-26 UTC--2013-10-10 UTC",41
"67","2010-04-26","FALSE","2014-05-06T11:55:35Z","2014-05-07T03:55:34Z","0.00S","57599.99S","040LTP2","040LTP2.its","L","2014-05-06 06:55:35","2014-05-06 22:55:34","2014-05-06",6,55,35,22,55,34,"57600.00S",16,24935,"2010-04-26 UTC--2014-05-06 UTC",48
"68","2010-10-26","M","2013-06-20T12:06:13Z","2013-06-21T04:06:12Z","0.00S","57599.99S","041LTP1","041LTP1.its","L","2013-06-20 07:06:13","2013-06-20 23:06:12","2013-06-20",7,6,13,23,6,12,"57600.00S",16,25573,"2010-10-26 UTC--2013-06-20 UTC",31
"69","2010-10-26","M","2014-06-15T12:42:07Z","2014-06-16T04:42:06Z","0.00S","57599.99S","041LTP2","041LTP2.its","L","2014-06-15 07:42:07","2014-06-15 23:42:06","2014-06-15",7,42,7,23,42,6,"57600.00S",16,27727,"2010-10-26 UTC--2014-06-15 UTC",43
"70","2010-10-26","M","2013-06-16T11:45:55Z","2013-06-17T03:45:54Z","0.00S","57599.99S","042LTP1","042LTP1.its","L","2013-06-16 06:45:55","2013-06-16 22:45:54","2013-06-16",6,45,55,22,45,54,"57600.00S",16,24355,"2010-10-26 UTC--2013-06-16 UTC",31
"71","2010-10-26","M","2014-06-15T12:43:21Z","2014-06-16T04:43:20Z","0.00S","57599.99S","042LTP2","042LTP2.its","L","2014-06-15 07:43:21","2014-06-15 23:43:20","2014-06-15",7,43,21,23,43,20,"57600.00S",16,27801,"2010-10-26 UTC--2014-06-15 UTC",43
"72","2010-05-01","FALSE","2013-10-13T11:37:39Z","2013-10-14T03:37:38Z","0.00S","57599.99S","043LTP1","043LTP1.its","L","2013-10-13 06:37:39","2013-10-13 22:37:38","2013-10-13",6,37,39,22,37,38,"57600.00S",16,23859,"2010-05-01 UTC--2013-10-13 UTC",41
"73","2010-05-01","FALSE","2014-06-12T11:31:57Z","2014-06-13T03:31:56Z","0.00S","57599.99S","043LTP2","043LTP2.its","L","2014-06-12 06:31:57","2014-06-12 22:31:56","2014-06-12",6,31,57,22,31,56,"57600.00S",16,23517,"2010-05-01 UTC--2014-06-12 UTC",49
"74","2011-05-01","FALSE","2014-01-31T13:43:56Z","2014-02-01T05:43:55Z","0.00S","57599.99S","044LTP1","044LTP1.its","L","2014-01-31 07:43:56","2014-01-31 23:43:55","2014-01-31",7,43,56,23,43,55,"57600.00S",16,27836,"2011-05-01 UTC--2014-01-31 UTC",32
"75","2011-08-02","FALSE","2015-01-22T13:49:20Z","2015-01-23T05:49:19Z","0.00S","57599.99S","044LTP2","044LTP2.its","L","2015-01-22 07:49:20","2015-01-22 23:49:19","2015-01-22",7,49,20,23,49,19,"57600.00S",16,28160,"2011-08-02 UTC--2015-01-22 UTC",41
"76","2010-04-20","M","2013-09-23T16:26:37Z","2013-09-24T08:26:36Z","0.00S","57599.99S","045LTP1","045LTP1.its","L","2013-09-23 11:26:37","2013-09-24 03:26:36","2013-09-23",11,26,37,3,26,36,"57600.00S",16,41197,"2010-04-20 UTC--2013-09-23 UTC",41
"77","2010-05-18","FALSE","2013-06-12T21:04:31Z","2013-06-13T13:04:30Z","0.00S","57599.99S","046LTP1","046LTP1.its","L","2013-06-12 16:04:31","2013-06-13 08:04:30","2013-06-12",16,4,31,8,4,30,"57600.00S",16,57871,"2010-05-18 UTC--2013-06-12 UTC",36
"78","2010-05-18","FALSE","2014-04-15T14:33:39Z","2014-04-16T06:33:38Z","0.00S","57599.99S","046LTP2","046LTP2.its","L","2014-04-15 09:33:39","2014-04-16 01:33:38","2014-04-15",9,33,39,1,33,38,"57600.00S",16,34419,"2010-05-18 UTC--2014-04-15 UTC",46
"79","2010-05-09","M","2013-08-20T13:12:48Z","2013-08-21T05:12:47Z","0.00S","57599.99S","049LTP1","049LTP1.its","L","2013-08-20 08:12:48","2013-08-21 00:12:47","2013-08-20",8,12,48,0,12,47,"57600.00S",16,29568,"2010-05-09 UTC--2013-08-20 UTC",39
"80","2010-05-09","M","2014-07-25T13:11:12Z","2014-07-26T05:11:11Z","0.00S","57599.99S","049LTP2","049LTP2.its","L","2014-07-25 08:11:12","2014-07-26 00:11:11","2014-07-25",8,11,12,0,11,11,"57600.00S",16,29472,"2010-05-09 UTC--2014-07-25 UTC",50
"81","2010-10-08","FALSE","2014-11-06T13:21:05Z","2014-11-07T05:21:04Z","0.00S","57599.99S","050LTP2","050LTP2.its","L","2014-11-06 07:21:05","2014-11-06 23:21:04","2014-11-06",7,21,5,23,21,4,"57600.00S",16,26465,"2010-10-08 UTC--2014-11-06 UTC",48
"82","2011-06-29","FALSE","2013-12-20T12:58:15Z","2013-12-21T04:58:14Z","0.00S","57599.99S","051LTP1","051LTP1.its","L","2013-12-20 06:58:15","2013-12-20 22:58:14","2013-12-20",6,58,15,22,58,14,"57600.00S",16,25095,"2011-06-29 UTC--2013-12-20 UTC",29
"83","2011-06-29","FALSE","2015-01-22T14:03:49Z","2015-01-23T06:03:48Z","0.00S","57599.99S","051LTP2","051LTP2.its","L","2015-01-22 08:03:49","2015-01-23 00:03:48","2015-01-22",8,3,49,0,3,48,"57600.00S",16,29029,"2011-06-29 UTC--2015-01-22 UTC",42
"84","2010-09-18","M","2013-06-07T12:09:50Z","2013-06-08T04:09:49Z","0.00S","57599.99S","052LTP1","052LTP1.its","L","2013-06-07 07:09:50","2013-06-07 23:09:49","2013-06-07",7,9,50,23,9,49,"57600.00S",16,25790,"2010-09-18 UTC--2013-06-07 UTC",32
"85","2010-09-18","M","2014-05-15T13:29:30Z","2014-05-16T05:29:29Z","0.00S","57599.99S","052LTP2","052LTP2.its","L","2014-05-15 08:29:30","2014-05-16 00:29:29","2014-05-15",8,29,30,0,29,29,"57600.00S",16,30570,"2010-09-18 UTC--2014-05-15 UTC",43
"86","2011-02-02","M","2014-01-26T14:11:39Z","2014-01-27T06:11:38Z","0.00S","57599.99S","053LTP1","053LTP1.its","L","2014-01-26 08:11:39","2014-01-27 00:11:38","2014-01-26",8,11,39,0,11,38,"57600.00S",16,29499,"2011-02-02 UTC--2014-01-26 UTC",35
"87","2011-02-02","M","2015-02-10T12:03:16Z","2015-02-11T04:03:15Z","0.00S","57599.99S","053LTP2","053LTP2.its","L","2015-02-10 06:03:16","2015-02-10 22:03:15","2015-02-10",6,3,16,22,3,15,"57600.00S",16,21796,"2011-02-02 UTC--2015-02-10 UTC",48
"88","2011-03-26","M","2013-11-06T12:20:10Z","2013-11-07T04:20:09Z","0.00S","57599.99S","055LTP1","055LTP1.its","L","2013-11-06 06:20:10","2013-11-06 22:20:09","2013-11-06",6,20,10,22,20,9,"57600.00S",16,22810,"2011-03-26 UTC--2013-11-06 UTC",31
